"" , "$Gender missing" , 6177535
"$local+http://id.loc.gov/authorities/demographicTerms/dg2015060391+http://id.loc.gov/authorities/demographicTerms/dg2015060392" , "Females+Composers+Lyricists" , 1
"$local" , "(lcdgt) <ales" , 1
"$local" , "females  $2 lcdgt" , 1
"$local+http://id.loc.gov/authorities/subjects/sh85017569" , "male+Buddhist monks" , 1
"http://id.loc.gov/authorities/subjects/sh85088067" , "Motion picture producers and directors" , 1
"$local+http://id.loc.gov/authorities/subjects/sh85026338+http://id.loc.gov/authorities/subjects/sh85103733" , "male+Civil engineers+Poets" , 1
"$local" , "(naf) Females" , 8
"$local+http://id.loc.gov/authorities/subjects/sh85028378+http://id.loc.gov/authorities/subjects/sh85106741" , "male+College teachers+Printers" , 1
"http://id.loc.gov/authorities/subjects/sh2007003708+http://id.loc.gov/authorities/subjects/sh2018002395+http://id.loc.gov/authorities/subjects/sh85080137" , "Transgender people+Transgender men+Males" , 1
"$local" , "(lcdgt) Femailes" , 1
"http://id.loc.gov/authorities/subjects/sh85008276" , "Artists" , 1
"$local" , "(ldcgt) Males" , 2
"$local+http://id.loc.gov/authorities/subjects/sh85101610" , "male+Physicians" , 2
"$local" , "males+lcdgt" , 1
"$local" , "fermale" , 1
"http://id.loc.gov/authorities/names/n81007353" , "Aude (France : Department)" , 1
"$local+http://id.loc.gov/authorities/demographicTerms/dg2015060006" , "(homoit) Genderqueer people+Transgender people" , 1
"$local" , "male-to-female transsexuals+female+male" , 1
"http://id.loc.gov/authorities/demographicTerms/dg2015060004+http://id.loc.gov/authorities/subjects/sh85009793+http://id.loc.gov/authorities/subjects/sh85103733" , "Females+Authors+Poets" , 1
"$local" , "Female-to-male transsexual" , 1
"$local" , "(lch) Males" , 1
"$local" , "femal" , 13
"$local" , "(lcgdt) Females" , 6
"$local" , "Females 2 lcsh" , 3
"$local" , "(lcgft) males" , 2
"$local+http://id.loc.gov/authorities/demographicTerms/dg2015060003+http://id.loc.gov/authorities/subjects/sh85101653+http://id.loc.gov/authorities/subjects/sh85129017" , "(lcsh) Matematics+Males+Physics+String models" , 1
"$local" , "fiction" , 1
"$local" , "(itoamc) Males" , 1
"http://id.loc.gov/authorities/demographicTerms/dg2015060003+http://id.loc.gov/authorities/demographicTerms/dg2015060004+http://id.loc.gov/authorities/demographicTerms/dg2015060006+http://id.loc.gov/authorities/demographicTerms/dg2015060304" , "Males+Females+Transgender people+Lesbians" , 1
"$local" , "Males 2 lcdgt" , 9
"http://id.loc.gov/authorities/demographicTerms/dg2015060003+http://id.loc.gov/authorities/demographicTerms/dg2015060142" , "Males+Blind" , 1
"$local" , "(lcdgt) Feamles" , 5
"$local" , "(lcdgt) Mals" , 3
"$local+http://id.loc.gov/authorities/demographicTerms/dg2015060003+http://id.loc.gov/authorities/subjects/sh85028378" , "(lcsh) authors+Males+College teachers" , 1
"$local" , "Writer" , 1
"$local" , "mela" , 1
"$local" , "(edtfg) Males" , 1
"$local" , "male+ind" , 2
"$local+http://id.loc.gov/authorities/subjects/sh85088865" , "female+Popular music" , 1
"$local" , "Professor" , 4
"http://id.loc.gov/authorities/demographicTerms/dg2015060004+http://id.loc.gov/authorities/subjects/sh00006290+http://id.loc.gov/authorities/subjects/sh85009793" , "Females+Journalists+Authors" , 2
"$local" , "(lcdgt) Malea" , 1
"http://id.loc.gov/authorities/subjects/sh00005804+http://id.loc.gov/authorities/subjects/sh85101610" , "Surgeons+Physicians" , 1
"http://id.loc.gov/authorities/demographicTerms/dg2015060359+http://id.loc.gov/authorities/subjects/sh85088084" , "Men+Motion pictures" , 1
"http://id.loc.gov/authorities/demographicTerms/dg2015060003+http://id.loc.gov/authorities/subjects/sh85102825+http://id.loc.gov/authorities/subjects/sh85123313" , "Males+Plantation owners+Slaveholders" , 1
"$local+http://id.loc.gov/authorities/demographicTerms/dg2015060003+http://id.loc.gov/authorities/demographicTerms/dg2015060004+http://id.loc.gov/authorities/demographicTerms/dg2015060006" , "Transgender man+Males+Females+Transgender people" , 2
"$local+http://id.loc.gov/authorities/demographicTerms/dg2015060003" , "hrv+Males" , 2
"$local" , "Professor+male" , 1
"$local" , "Photographer+female" , 1
"$local" , "(lcdgt) Females/males" , 1
"http://id.loc.gov/authorities/demographicTerms/dg2015060003+http://id.loc.gov/authorities/demographicTerms/dg2015060137" , "Males+People with developmental disabilities" , 1
"http://id.loc.gov/authorities/subjects/sh85006928+http://id.loc.gov/authorities/subjects/sh85061091" , "Archivists+Historians" , 1
"$local" , "female." , 9
"http://id.loc.gov/authorities/subjects/sh00006290+http://id.loc.gov/authorities/subjects/sh85066805+http://id.loc.gov/authorities/subjects/sh85089027+http://id.loc.gov/authorities/subjects/sh85103733" , "Journalists+Insurance agents+Musicians+Poets" , 1
"$local" , "males $2 lcgdt" , 1
"$local" , "(lcdgt) Fremales" , 1
"$local+http://id.loc.gov/authorities/demographicTerms/dg2015060004" , "spa+Females" , 2
"$local" , "(lcsh) Famels" , 1
"$local" , "transgender+female" , 1
"$local" , "(lcdgt) Males," , 9
"http://id.loc.gov/authorities/demographicTerms/dg2015060003+http://id.loc.gov/authorities/subjects/sh85028378" , "Males+College teachers" , 1
"http://id.loc.gov/authorities/demographicTerms/dg2015060003+http://id.loc.gov/authorities/subjects/sh85110190" , "Males+Rabbis" , 1
"$local+$local+http://id.loc.gov/authorities/demographicTerms/dg2015060003" , "lat+ita+Males" , 1
"$local" , "(lcdgt) Males/Females" , 6
"$local" , "arm+male" , 2
"$local" , "(lcsh) Ma;es" , 1
"http://id.loc.gov/authorities/demographicTerms/dg2015060004+http://id.loc.gov/authorities/demographicTerms/dg2015060006+http://id.loc.gov/authorities/subjects/sh2018002623" , "Females+Transgender people+Transgender women" , 1
"$local+http://id.loc.gov/authorities/demographicTerms/dg2015060003+http://id.loc.gov/authorities/demographicTerms/dg2015060004+http://id.loc.gov/authorities/demographicTerms/dg2015060006" , "Transgender woman+Males+Females+Transgender people" , 1
"http://id.loc.gov/authorities/demographicTerms/dg2016060050" , "Motion picture directors" , 2
"http://id.loc.gov/authorities/demographicTerms/dg2015060004+http://id.loc.gov/authorities/demographicTerms/dg2015060521" , "Females+Journalists" , 1
"http://id.loc.gov/authorities/subjects/sh85070897" , "Judges" , 3
"$local+http://id.loc.gov/authorities/subjects/sh85009793" , "male+Authors" , 1
"$local+$local+http://id.loc.gov/authorities/demographicTerms/dg2015060003" , "male+eng+Males" , 1
"http://id.loc.gov/authorities/demographicTerms/dg2015060133+http://id.loc.gov/authorities/demographicTerms/dg2015060359" , "Illustrators+Men" , 1
"http://id.loc.gov/authorities/subjects/sh85028378+http://id.loc.gov/authorities/subjects/sh85044172" , "College teachers+Environmental engineers" , 1
"http://id.loc.gov/authorities/demographicTerms/dg2015060004+http://id.loc.gov/authorities/demographicTerms/dg2015060358" , "Females+Women" , 2
"$local" , "(lcdgt) Males;" , 2
"http://id.loc.gov/authorities/subjects/sh85000744" , "Actors" , 2
"http://id.loc.gov/authorities/demographicTerms/dg2015060004+http://id.loc.gov/authorities/subjects/sh85110448+http://id.loc.gov/authorities/subjects/sh85133500" , "Females+Radio broadcasting+Television broadcasting" , 1
"http://id.loc.gov/authorities/subjects/sh85133528" , "Television comedy writers" , 1
"http://id.loc.gov/authorities/subjects/sh85092863" , "Novelists" , 1
"$local" , "eng+por" , 1
"$local" , "(aat) Hermaphrodites (people)" , 1
"http://id.loc.gov/authorities/demographicTerms/dg2015060004+http://id.loc.gov/authorities/subjects/sh85028844" , "Females+Comedians" , 1
"$local" , "University of Turku" , 1
"http://id.loc.gov/authorities/demographicTerms/dg2015060004+http://id.loc.gov/authorities/subjects/sh85009793+http://id.loc.gov/authorities/subjects/sh85064419" , "Females+Authors+Illustrators" , 1
"$local" , "Internet, Jan. 11, 2016" , 1
"$local+http://id.loc.gov/authorities/subjects/sh00006383" , "female+Lawyers" , 1
"$local" , "(lcsh) Maless" , 3
"http://id.loc.gov/authorities/subjects/sh00006942+http://id.loc.gov/authorities/subjects/sh85147558" , "Photographers+Businesswomen" , 1
"$local" , "(itoamc) Females" , 2
"http://id.loc.gov/authorities/demographicTerms/dg2015060391+http://id.loc.gov/authorities/demographicTerms/dg2016060020" , "Composers+Percussionists" , 1
"$local" , "Females $2 lcsh" , 1
"$local" , "(lcdgt) Mlales" , 1
"http://id.loc.gov/authorities/demographicTerms/dg2015060003+http://id.loc.gov/authorities/subjects/sh85028268+http://id.loc.gov/authorities/subjects/sh85054036+http://id.loc.gov/authorities/subjects/sh92000452" , "Males+College administrators+Geologists+Geology teachers" , 1
"$local+http://id.loc.gov/authorities/demographicTerms/dg2015060003" , "(lcdgt) Authors+Males" , 1
"$local" , "Politician+male" , 1
"$local" , "male+bul" , 1
"$local" , "(lcdgt) Maless" , 1
"$local" , "eng+male+ger" , 1
"http://id.loc.gov/authorities/subjects/sh85136974" , "Translators" , 2
"$local" , "fenale" , 2
"$local" , "eng+tha+male" , 1
"http://id.loc.gov/authorities/subjects/sh85101651" , "Physicists" , 3
"$local" , "Film director+male" , 1
"$local" , "(naf) Sarajevo, Bosnia and Herzegovina" , 1
"http://id.loc.gov/authorities/subjects/sh85075333+http://id.loc.gov/authorities/subjects/sh85080137" , "Law teachers+Males" , 2
"$local+http://id.loc.gov/authorities/subjects/sh2002006249" , "male+Women" , 1
"$local" , "lcdgt+males" , 1
"http://id.loc.gov/authorities/subjects/sh85089027" , "Musicians" , 1
"http://id.loc.gov/authorities/demographicTerms/dg2015060004+http://id.loc.gov/authorities/subjects/sh85009793+http://id.loc.gov/authorities/subjects/sh85014202" , "Females+Authors+Biologists" , 1
"$local" , "eng+jpa" , 1
"$local" , "(lcdgt) les" , 1
"$local" , "vie+eng" , 1
"$local+$local+http://id.loc.gov/authorities/subjects/sh2007003860" , "male+female+Intersex people" , 1
"$local" , "wel" , 3
"http://id.loc.gov/authorities/demographicTerms/dg2015060358+http://id.loc.gov/authorities/subjects/sh99011240" , "Women+Arrangers (Musicians)" , 1
"http://id.loc.gov/authorities/demographicTerms/dg2015060003+http://id.loc.gov/authorities/subjects/sh85031713+http://id.loc.gov/authorities/subjects/sh85079021+http://id.loc.gov/authorities/subjects/sh85087296" , "Males+Mormon converts+Lutherans+Mormons" , 1
"$local" , "femalie" , 1
"$local" , "(lcdgt) Malrs" , 1
"$local+http://id.loc.gov/authorities/demographicTerms/dg2015060003" , "(lcdgt) College teachers+Males" , 3
"$local" , "(lcdgt) MAles" , 3
"$local" , "tam" , 2
"http://id.loc.gov/authorities/subjects/sh85028378+http://id.loc.gov/authorities/subjects/sh92002102" , "College teachers+Psychology teachers" , 1
"$local+$local+http://id.loc.gov/authorities/demographicTerms/dg2015060004+http://id.loc.gov/authorities/demographicTerms/dg2015060006" , "Transgender woman+(homoit) Transgender people+Females+Transgender people" , 1
"$local+$local+http://id.loc.gov/authorities/subjects/sh2006002132+http://id.loc.gov/authorities/subjects/sh2007003860" , "male+female+Male-to-female transsexuals+Intersex people" , 1
"$local" , "bur" , 2
"$local" , "not" , 1
"http://id.loc.gov/authorities/demographicTerms/dg2015060003+http://id.loc.gov/authorities/demographicTerms/dg2015060391+http://id.loc.gov/authorities/demographicTerms/dg2016060024+http://id.loc.gov/authorities/subjects/sh90004965" , "Males+Composers+University and college faculty members+Choral conductors" , 1
"$local" , "(lcdgf) Females" , 1
"$local" , "(lcgbt) Females" , 2
"$local" , "Malesd2lcdgt" , 2
"$local" , "male+eng+dut" , 1
"$local" , "spa+lat" , 1
"$local+http://id.loc.gov/authorities/demographicTerms/dg2015060003+http://id.loc.gov/authorities/demographicTerms/dg2015060006+http://id.loc.gov/authorities/subjects/sh2018002395" , "(homoit) Genderqueer people+Males+Transgender people+Transgender men" , 1
"$local+http://id.loc.gov/authorities/demographicTerms/dg2015060003" , "ita+Males" , 3
"$local" , "feme" , 1
"http://id.loc.gov/authorities/demographicTerms/dg2015060003+http://id.loc.gov/authorities/subjects/sh85134647" , "Males+Theologians" , 1
"http://id.loc.gov/authorities/demographicTerms/dg2015060003+http://id.loc.gov/authorities/demographicTerms/dg2015060404" , "Males+Scholars" , 1
"http://id.loc.gov/authorities/subjects/sh85002325" , "Agricultural extension workers" , 1
"http://id.loc.gov/authorities/subjects/sh85006565" , "Architects" , 2
"$local+http://id.loc.gov/authorities/demographicTerms/dg2015060004" , "(lcdgt) women+Females" , 1
"http://id.loc.gov/authorities/demographicTerms/dg2015060003+http://id.loc.gov/authorities/subjects/sh85046291+http://id.loc.gov/authorities/subjects/sh85084157+http://id.loc.gov/authorities/subjects/sh88001901" , "Males+Executives+Metallurgists+Materials scientists" , 1
"http://id.loc.gov/authorities/demographicTerms/dg2015060003+http://id.loc.gov/authorities/subjects/sh85138509" , "Males+Tulalip Indians" , 1
"$local" , "Males d2 kcdgt" , 1
"$local" , "(lcdgt) FemaleS" , 2
"$local" , "male[gender]" , 1
"http://id.loc.gov/authorities/subjects/sh85083510+http://id.loc.gov/authorities/subjects/sh94009444" , "Men+Gang members" , 1
"http://id.loc.gov/authorities/subjects/sh85042503+http://id.loc.gov/authorities/subjects/sh85047734" , "Elementary school teachers+Females" , 1
"$local+http://id.loc.gov/authorities/subjects/sh85028378" , "male+College teachers" , 6
"$local" , "(lcdgt) Males p" , 3
"$local" , "urd" , 1
"$local" , "Transsexual woman" , 1
"$local" , "may" , 9
"$local" , "(lcdgt) Asexual people" , 1
"$local" , "fre+ger" , 1
"$local" , "(lcbdgt) Males" , 1
"$local+$local+http://id.loc.gov/authorities/subjects/sh85080137" , "eng+ger+Males" , 1
"$local" , "(lcmpt) Males" , 1
"$local" , "eng+chi" , 2
"$local" , "(ldcgt) Females" , 1
"$local" , "(lcdgt) Feamales" , 1
"$local" , "(l cdgt) Females" , 1
"http://id.loc.gov/authorities/demographicTerms/dg2015060003+http://id.loc.gov/authorities/demographicTerms/dg2015060306" , "Males+Mexican Americans" , 1
"http://id.loc.gov/authorities/demographicTerms/dg2015060391" , "Composers" , 1
"$local" , "(lcdgt) University and college faculty member" , 1
"http://id.loc.gov/authorities/demographicTerms/dg2015060133" , "Illustrators" , 2
"$local+http://id.loc.gov/authorities/demographicTerms/dg2015060003" , "gre+Males" , 1
"$local+http://id.loc.gov/authorities/demographicTerms/dg2015060003" , "Philologist+Males" , 1
"$local" , "fame" , 1
"$local+$local+http://id.loc.gov/authorities/demographicTerms/dg2015060003" , "ger+fre+Males" , 2
"$local" , "female+eng" , 1
"$local" , "Ita+female" , 1
"http://id.loc.gov/authorities/demographicTerms/dg2015060004+http://id.loc.gov/authorities/subjects/sh85023598" , "Females+Children's literature" , 1
"$local" , "Females+lcsh" , 1
"$local+http://id.loc.gov/authorities/demographicTerms/dg2015060304" , "Butch lesbian+Lesbians" , 1
"http://id.loc.gov/authorities/demographicTerms/dg2015060303" , "Gay men" , 1
"$local" , "mon" , 1
"http://id.loc.gov/authorities/subjects/sh85057846" , "Guitarists" , 1
"http://id.loc.gov/authorities/subjects/sh85077231+http://id.loc.gov/authorities/subjects/sh85123382" , "Linguists+Slavists" , 1
"$local" , "(lcgft) Women" , 2
"http://id.loc.gov/authorities/subjects/sh85028378+http://id.loc.gov/authorities/subjects/sh85054036" , "College teachers+Geologists" , 1
"$local" , "(lcdgt) Femalese" , 1
"$local" , "amle" , 2
"http://id.loc.gov/authorities/demographicTerms/dg2015060004+http://id.loc.gov/authorities/demographicTerms/dg2016060149" , "Females+Dominican Americans" , 1
"$local" , "(lcdgft) Males" , 1
"http://id.loc.gov/authorities/demographicTerms/dg2015060004+http://id.loc.gov/authorities/subjects/sh92003411" , "Females+Women translators" , 1
"$local" , "Painter+male" , 1
"http://id.loc.gov/authorities/demographicTerms/dg2015060358+http://id.loc.gov/authorities/demographicTerms/dg2015060534" , "Women+Chinese Americans" , 1
"$local" , "mlae" , 2
"http://id.loc.gov/authorities/demographicTerms/dg2015060004+http://id.loc.gov/authorities/subjects/sh85037288+http://id.loc.gov/authorities/subjects/sh85104183" , "Females+Detectives+Police" , 1
"$local" , "(lcdgt) Famales" , 4
"$local+http://id.loc.gov/authorities/subjects/sh85053977" , "male+Geographers" , 1
"$local+http://id.loc.gov/authorities/demographicTerms/dg2015060004" , "rus+Females" , 3
"$local" , "heb+eng" , 1
"$local" , "eng+afr+male" , 1
"http://id.loc.gov/authorities/subjects/sh85043220" , "Engineering geologists" , 1
"$local" , "(homoit) Transgender people" , 1
"$local+http://id.loc.gov/authorities/subjects/sh85086017" , "male+Missionaries" , 1
"$local" , "nale" , 1
"$local+http://id.loc.gov/authorities/demographicTerms/dg2015060003" , "(lcdgt) Screenwriters+Males" , 1
"$local" , "(lcdtg) Males" , 1
"$local" , "(lcsg) Females" , 2
"$local" , "rus+female" , 1
"$local" , "lcdgt" , 3
"$local" , "male+ita" , 3
"$local" , "not known+female" , 1
"$local+http://id.loc.gov/authorities/demographicTerms/dg2015060004" , "mni+Females" , 1
"http://id.loc.gov/authorities/demographicTerms/dg2015060006+http://id.loc.gov/authorities/subjects/sh2018002395" , "Transgender people+Transgender men" , 2
"$local+http://id.loc.gov/authorities/subjects/sh85061091" , "male+Historians" , 1
"$local+http://id.loc.gov/authorities/demographicTerms/dg2015060003" , "tha+Males" , 1
"$local" , "lcsh+Males" , 2
"$local" , "female+male+transgender woman" , 1
"http://id.loc.gov/authorities/demographicTerms/dg2015060004+http://id.loc.gov/authorities/demographicTerms/dg2015060142" , "Females+Blind" , 1
"$local" , "(cdgt) Males" , 2
"$local" , "malr" , 5
"$local+http://id.loc.gov/authorities/demographicTerms/dg2015060003" , "(lcdgt) eng+Males" , 1
"$local+$local+http://id.loc.gov/authorities/demographicTerms/dg2015060003+http://id.loc.gov/authorities/demographicTerms/dg2015060006" , "female+male+Males+Transgender people" , 1
"$local" , "(lchs) Males" , 1
"$local" , "male+rus+arm" , 1
"$local" , "(lcsy) Males" , 1
"http://id.loc.gov/authorities/subjects/sh85100836" , "Philosophers" , 1
"$local" , "male+pus" , 1
"http://id.loc.gov/authorities/demographicTerms/dg2015060004+http://id.loc.gov/authorities/demographicTerms/dg2015060310" , "Females+Hispanic Americans" , 1
"http://id.loc.gov/authorities/subjects/sh85030810" , "Conductors (Music)" , 1
"$local" , "Nepal" , 2
"$local" , "malle" , 1
"$local+http://id.loc.gov/authorities/subjects/sh85028378+http://id.loc.gov/authorities/subjects/sh85036081+http://id.loc.gov/authorities/subjects/sh85040878" , "male+College teachers+Deans (Education)+Economists" , 1
"$local+http://id.loc.gov/authorities/demographicTerms/dg2015060003" , "srp+Males" , 1
"$local+http://id.loc.gov/authorities/demographicTerms/dg2015060003" , "pol+Males" , 1
"$local" , "(lcdgt) Meh" , 1
"http://id.loc.gov/authorities/subjects/sh85028378+http://id.loc.gov/authorities/subjects/sh85080137" , "College teachers+Males" , 3
"http://id.loc.gov/authorities/demographicTerms/dg2015060003+http://id.loc.gov/authorities/subjects/sh85020514" , "Males+Cartographers" , 1
"$local" , "(lcdgt) Females," , 3
"$local" , "editors" , 1
"$local" , "Unknown" , 1
"$local" , "[gender]+femele" , 1
"$local" , "(lcdgt) Females  s" , 1
"$local" , "Sichuan da xue" , 1
"http://id.loc.gov/authorities/subjects/sh85110190" , "Rabbis" , 1
"$local" , "(lcdg) Females" , 4
"http://id.loc.gov/authorities/subjects/sh85016211" , "Boys" , 1
"$local" , "(lcdgt) Femaes" , 1
"$local" , "(lcdgt) ‌Males" , 1
"http://id.loc.gov/authorities/demographicTerms/dg2015060003+http://id.loc.gov/authorities/subjects/sh85026944+http://id.loc.gov/authorities/subjects/sh85086017" , "Males+Clergy+Missionaries" , 1
"$local+$local+http://id.loc.gov/authorities/demographicTerms/dg2015060004" , "(lcdgt) rus+(lcdgt) bak+Females" , 1
"$local+http://id.loc.gov/authorities/demographicTerms/dg2015060004" , "ita+Females" , 1
"$local" , "teacher+miner+principal" , 1
"$local" , "(lcdgt) Novelists" , 1
"$local" , "female+cat+spa" , 1
"$local" , "Opawa school, 2015" , 1
"$local" , "felame" , 1
"http://id.loc.gov/authorities/demographicTerms/dg2015060004+http://id.loc.gov/authorities/demographicTerms/dg2015060611" , "Females+Nutritionists" , 1
"http://id.loc.gov/authorities/demographicTerms/dg2015060003+http://id.loc.gov/authorities/subjects/sh85108871" , "Males+Publishers and publishing" , 1
"http://id.loc.gov/authorities/subjects/sh85101651+http://id.loc.gov/authorities/subjects/sh90001077" , "Physicists+Computer scientists" , 1
"$local" , "lcsh+Women" , 1
"$local" , "(lcdgt) Femals" , 5
"$local" , "fele" , 1
"http://id.loc.gov/authorities/demographicTerms/dg2015060004+http://id.loc.gov/authorities/subjects/sh85008276+http://id.loc.gov/authorities/subjects/sh85049317" , "Females+Artists+Flower arrangers" , 1
"$local+http://id.loc.gov/authorities/subjects/sh85132964" , "female+Teachers" , 1
"$local" , "(lcdgt) Femaies" , 1
"$local+http://id.loc.gov/authorities/subjects/sh2002006249" , "eng+Women" , 1
"http://id.loc.gov/authorities/demographicTerms/dg2015060003+http://id.loc.gov/authorities/subjects/sh85088067+http://id.loc.gov/authorities/subjects/sh85118942" , "Males+Motion picture producers and directors+Screenwriters" , 1
"http://id.loc.gov/authorities/demographicTerms/dg2015060004+http://id.loc.gov/authorities/demographicTerms/dg2015060332" , "Females+South Americans" , 1
"http://id.loc.gov/authorities/subjects/sh00006942+http://id.loc.gov/authorities/subjects/sh85006565" , "Photographers+Architects" , 1
"$local" , "(lcdgt) Fema;es" , 1
"$local+$local+$local+http://id.loc.gov/authorities/demographicTerms/dg2015060003" , "hin+eng+mal+Males" , 1
"$local" , "frmale" , 1
"$local" , "male+Mathematician" , 1
"$local" , "femaies" , 1
"$local" , "tha" , 1
"$local+http://id.loc.gov/authorities/demographicTerms/dg2015060003" , "Researcher+Males" , 1
"$local" , "cat" , 2
"$local" , "(iso5218) 375 male" , 1
"$local" , "por+eng" , 1
"http://id.loc.gov/authorities/demographicTerms/dg2015060003+http://id.loc.gov/authorities/subjects/sh2001008984" , "Males+Theology" , 1
"$local+http://id.loc.gov/authorities/demographicTerms/dg2015060004" , "cze+Females" , 1
"$local" , "Journalist+Writer+male" , 1
"$local" , "male+Côte d'Ivoire" , 1
"$local" , "no known" , 1
"$local" , "female/male" , 1
"$local" , "ita+lat" , 1
"$local" , "(lc sh) Females" , 2
"$local+http://id.loc.gov/authorities/subjects/sh85006565" , "male+Architects" , 1
"$local" , "spa+female" , 4
"$local" , "male+Author" , 1
"http://id.loc.gov/authorities/demographicTerms/dg2015060003+http://id.loc.gov/authorities/demographicTerms/dg2016060260" , "Males+German Americans" , 1
"$local" , "alb" , 1
"http://id.loc.gov/authorities/demographicTerms/dg2015060003+http://id.loc.gov/authorities/names/n84091978" , "Males+II Università degli studi di Roma" , 1
"$local" , "Males 12 lcdgt+spa" , 1
"$local" , "mal̃e" , 1
"$local" , "(lcdgt) Fermales" , 2
"$local" , "(lcsh) Femles" , 2
"http://id.loc.gov/authorities/demographicTerms/dg2015060003+http://id.loc.gov/authorities/subjects/sh00006290+http://id.loc.gov/authorities/subjects/sh85009793" , "Males+Journalists+Authors" , 1
"$local" , "(lcsdgt) Males" , 3
"$local" , "male+per" , 1
"$local+http://id.loc.gov/authorities/subjects/sh85088067+http://id.loc.gov/authorities/subjects/sh85096653" , "male+Motion picture producers and directors+Painters" , 1
"$local" , "(lvdgt) Males" , 1
"$local" , "rus+male" , 1
"http://id.loc.gov/authorities/demographicTerms/dg2015060004+http://id.loc.gov/authorities/demographicTerms/dg2015060389" , "Females+Psychologists" , 1
"$local" , "Males 12 lcdgt" , 1
"$local" , "eng+male" , 4
"http://id.loc.gov/authorities/subjects/sh85020199+http://id.loc.gov/authorities/subjects/sh85106637" , "Cardinals+Priests" , 1
"$local" , "ger+male" , 1
"http://id.loc.gov/authorities/subjects/sh85028378+http://id.loc.gov/authorities/subjects/sh85061256" , "College teachers+History teachers" , 1
"$local+http://id.loc.gov/authorities/subjects/sh00006290+http://id.loc.gov/authorities/subjects/sh85034154" , "male+Journalists+Critics" , 1
"$local" , "shn+bur" , 1
"$local+$local+http://id.loc.gov/authorities/demographicTerms/dg2015060003" , "ger+eng+Males" , 1
"$local" , "male+Sociologist" , 1
"http://id.loc.gov/authorities/subjects/sh85080137+http://id.loc.gov/authorities/subjects/sh85108798+http://id.loc.gov/authorities/subjects/sh90003323" , "Males+Public relations consultants+Newspaper editors" , 1
"$local" , "Males  $2 lcdgt" , 1
"$local" , "melw" , 1
"http://id.loc.gov/authorities/subjects/sh85137086" , "Transsexuals" , 2
"$local+http://id.loc.gov/authorities/demographicTerms/dg2015060004" , "ger+Females" , 1
"$local" , "gender" , 2
"$local+$local+http://id.loc.gov/authorities/demographicTerms/dg2015060004" , "pol+eng+Females" , 1
"$local" , "bos" , 1
"$local" , "(lcdgt) not known" , 1
"$local" , "Hernández, Óscar Daniel" , 1
"http://id.loc.gov/authorities/demographicTerms/dg2015060003+http://id.loc.gov/authorities/subjects/sh85136974" , "Males+Translators" , 2
"$local" , "(lcsh) Gender nonconforming people" , 1
"$local+http://id.loc.gov/authorities/demographicTerms/dg2015060359" , "fre+Men" , 1
"$local+http://id.loc.gov/authorities/subjects/sh85064419" , "Females+Illustrators" , 1
"$local+http://id.loc.gov/authorities/demographicTerms/dg2015060003" , "(mesh) Male+Males" , 2
"$local" , "(lcdgt) Male4s" , 1
"$local" , "lit+eng+female" , 1
"$local+http://id.loc.gov/authorities/subjects/sh85009793+http://id.loc.gov/authorities/subjects/sh85060718" , "female+Authors+High school teachers" , 1
"http://id.loc.gov/authorities/subjects/sh99003386" , "Sound engineers" , 1
