"" , "$Gender missing" , 6177535
"$local+http://id.loc.gov/authorities/demographicTerms/dg2015060006" , "male+Transgender people" , 1
"$local" , "(lcgft) females" , 2
"$local" , "eng+male+ita" , 1
"http://id.loc.gov/authorities/subjects/sh85082138+http://id.loc.gov/authorities/subjects/sh85082186" , "Mathematicians+Mathematics teachers" , 1
"$local" , "(lcsh) M3n" , 1
"$local" , "(lcsh) Traumpet players" , 1
"http://id.loc.gov/authorities/demographicTerms/dg2015060003+http://id.loc.gov/authorities/subjects/sh85009793+http://id.loc.gov/authorities/subjects/sh85047114" , "Males+Authors+Fantasy fiction" , 1
"http://id.loc.gov/authorities/subjects/sh85055012" , "Girls" , 2
"http://id.loc.gov/authorities/demographicTerms/dg2015060358+http://id.loc.gov/authorities/subjects/sh85143635" , "Women+Violinists" , 1
"$local" , "(lcdgt) Feemales" , 1
"$local+$local+http://id.loc.gov/authorities/demographicTerms/dg2015060359" , "(lcdgt) males+male+Men" , 1
"$local+http://id.loc.gov/authorities/subjects/sh85100820" , "female+Philologists" , 1
"$local+http://id.loc.gov/authorities/demographicTerms/dg2015060003" , "ukr+Males" , 1
"$local" , "Transgender people $2 lcsh" , 1
"$local" , "(lcdgt) Femalesd" , 1
"$local+http://id.loc.gov/authorities/subjects/sh85014419" , "male+Bishops" , 1
"http://id.loc.gov/authorities/demographicTerms/dg2015060006+http://id.loc.gov/authorities/subjects/sh2018002623" , "Transgender people+Transgender women" , 1
"$local" , "Trans" , 1
"http://id.loc.gov/authorities/demographicTerms/dg2015060003+http://id.loc.gov/authorities/demographicTerms/dg2015060004+http://id.loc.gov/authorities/subjects/sh2002011161" , "Males+Females+Female-to-male transsexuals" , 1
"$local" , "male+arm" , 2
"http://id.loc.gov/authorities/demographicTerms/dg2015060003+http://id.loc.gov/authorities/subjects/sh85064850" , "Males+Independent insurance agents" , 1
"http://id.loc.gov/authorities/demographicTerms/dg2015060003+http://id.loc.gov/authorities/subjects/sh00006383" , "Males+Lawyers" , 1
"$local" , "male+eng+afr" , 1
"$local+http://id.loc.gov/authorities/demographicTerms/dg2015060003+http://id.loc.gov/authorities/demographicTerms/dg2015060004+http://id.loc.gov/authorities/demographicTerms/dg2015060005" , "Transsexual woman+Males+Females+Transsexuals" , 1
"$local" , "eng+tgl" , 1
"$local" , "female+Richard Stockton College of New Jersey" , 1
"http://id.loc.gov/authorities/subjects/sh2018002623" , "Transgender women" , 2
"$local+$local+http://id.loc.gov/authorities/demographicTerms/dg2015060359" , "eng+spa+Men" , 1
"$local" , "male+Researcher" , 1
"http://id.loc.gov/authorities/demographicTerms/dg2015060519" , "Motion picture editors" , 1
"$local" , "(homoit) Genderqueer people+Transgenderqueer" , 1
"$local" , "(lcdgt) http://apeuumbanda.blogspot.com/2012/07/entrevista-de-sandro-mattos-ao-blog-da.htmlMales" , 1
"http://id.loc.gov/authorities/demographicTerms/dg2015060767" , "Architects" , 1
"$local" , "(l csh) Females" , 2
"$local" , "are+rus" , 1
"http://id.loc.gov/authorities/subjects/sh85008276+http://id.loc.gov/authorities/subjects/sh85009793+http://id.loc.gov/authorities/subjects/sh85083510+http://id.loc.gov/authorities/subjects/sh85133601+http://id.loc.gov/authorities/subjects/sh85133631" , "Artists+Authors+Men+Television producers and directors+Television writers" , 1
"$local" , "(lcdgt) ales" , 2
"$local" , "bak+rus" , 1
"$local" , "(lcsh) Fedmales" , 1
"$local" , "male+transsexual woman" , 1
"$local" , "(lcdft) Males" , 1
"$local" , "males+eng" , 1
"$local" , "nep" , 1
"$local" , "fin+eng" , 1
"http://id.loc.gov/authorities/demographicTerms/dg2015060004+http://id.loc.gov/authorities/subjects/sh2004005894" , "Females+Voice actors and actresses" , 1
"http://id.loc.gov/authorities/demographicTerms/dg2015060003+http://id.loc.gov/authorities/demographicTerms/dg2015060497" , "Males+Jesuits" , 1
"http://id.loc.gov/authorities/demographicTerms/dg2015060003+http://id.loc.gov/authorities/subjects/sh92004758" , "Males+Addicts" , 1
"$local" , "femaile" , 2
"http://id.loc.gov/authorities/demographicTerms/dg2015060004+http://id.loc.gov/authorities/subjects/sh00006942" , "Females+Photographers" , 1
"$local" , "(lcdgt) Malests" , 1
"http://id.loc.gov/authorities/subjects/sh85029386+http://id.loc.gov/authorities/subjects/sh85143635" , "Composers+Violinists" , 1
"$local+http://id.loc.gov/authorities/demographicTerms/dg2015060004" , "ben+Females" , 1
"$local" , "male+Teacher+Principal" , 1
"$local" , "(lcdgt) Ffemales" , 1
"$local" , "bur+female" , 1
"$local+http://id.loc.gov/authorities/subjects/sh85028967" , "male+Commission merchants" , 1
"$local" , "guj" , 1
"$local" , "(lcsh) 375  Females" , 1
"$local" , "(lcdgt) Females;" , 2
"$local" , "(lcsg) Males" , 1
"$local" , "(homoit) Third gender people" , 1
"$local" , "femlale" , 1
"$local+http://id.loc.gov/authorities/demographicTerms/dg2015060004" , "dut+Females" , 1
"$local" , "jpn" , 1
"$local" , "tel" , 2
"$local" , "rus+eng+male" , 1
"$local" , "ger+eng" , 2
"$local" , "eng+male+spa" , 1
"http://id.loc.gov/authorities/subjects/sh85103733" , "Poets" , 1
"$local+$local+http://id.loc.gov/authorities/demographicTerms/dg2015060358" , "(lcdgt) females+female+Women" , 1
"$local" , "(lcash) Males" , 1
"http://id.loc.gov/authorities/demographicTerms/dg2015060003+http://id.loc.gov/authorities/subjects/sh85149268" , "Males+Young adult literature" , 1
"$local+http://id.loc.gov/authorities/demographicTerms/dg2015060004" , "ukr+Females" , 1
"$local+$local+http://id.loc.gov/authorities/demographicTerms/dg2015060003" , "rus+ukr+Males" , 1
"$local" , "mazle" , 1
"http://id.loc.gov/authorities/demographicTerms/dg2015060003+http://id.loc.gov/authorities/subjects/sh96008258" , "Males+Woodwind instrument players" , 1
"http://id.loc.gov/authorities/demographicTerms/dg2015060003+http://id.loc.gov/authorities/demographicTerms/dg2015060006+http://id.loc.gov/authorities/subjects/sh2018002395" , "Males+Transgender people+Transgender men" , 1
"$local+http://id.loc.gov/authorities/subjects/sh00006383" , "male+Lawyers" , 1
"http://id.loc.gov/authorities/demographicTerms/dg2015060003+http://id.loc.gov/authorities/demographicTerms/dg2016060077" , "Males+Historians" , 1
"$local+$local+http://id.loc.gov/authorities/subjects/sh2007003860" , "intersex+female+Intersex people" , 1
"$local" , "rus+ger" , 1
"$local" , "(lcdgt) Male." , 1
"$local" , "(lcdgt) Mels" , 1
"http://id.loc.gov/authorities/demographicTerms/dg2015060003+http://id.loc.gov/authorities/subjects/sh85008276+http://id.loc.gov/authorities/subjects/sh85096653" , "Males+Artists+Painters" , 1
"$local" , "(lcdgt) Woman" , 1
"$local" , "University of the West Indies (Saint Augustine, Trinidad and Tobago). Department of Civil and Environmental Engineering, Faculty of Engineering+(lcdgt) Male" , 1
"$local" , "wel+eng" , 1
"$local" , "multi-gendered" , 1
"$local+$local+$local+http://id.loc.gov/authorities/demographicTerms/dg2015060003" , "Tenor horn player+Euphonium player+Baritone player+Males" , 1
"$local" , "sco+eng" , 1
"$local" , "Males lcdgt" , 1
"http://id.loc.gov/authorities/subjects/sh85025618+http://id.loc.gov/authorities/subjects/sh85026944+http://id.loc.gov/authorities/subjects/sh85028378+http://id.loc.gov/authorities/subjects/sh85134647+http://id.loc.gov/authorities/subjects/sh99003924" , "Church historians+Clergy+College teachers+Theologians+Library directors" , 1
"$local+http://id.loc.gov/authorities/subjects/sh85124199" , "female+Sociologists" , 1
"$local" , "(lcdgt) Malee" , 2
"$local+http://id.loc.gov/authorities/subjects/sh85031469+http://id.loc.gov/authorities/subjects/sh85040976+http://id.loc.gov/authorities/subjects/sh85104266" , "female+Consultants+Editors+Policy scientists" , 1
"http://id.loc.gov/authorities/demographicTerms/dg2015060003+http://id.loc.gov/authorities/subjects/sh85029386+http://id.loc.gov/authorities/subjects/sh85089027" , "Males+Composers+Musicians" , 1
"$local" , "Communications director+female+Sales associate+Fundraiser" , 1
"$local" , "famele" , 1
"http://id.loc.gov/authorities/subjects/sh85001422+http://id.loc.gov/authorities/subjects/sh85028378" , "Aerospace engineers+College teachers" , 1
"$local" , "male+Professor" , 1
"$local" , "Hangzhou dian zi ke ji da xue ren wen yu fa xue yuan wen hua chuan bo xi)" , 1
"$local" , "(lcdgt) Malews" , 1
"http://id.loc.gov/authorities/demographicTerms/dg2015060003+http://id.loc.gov/authorities/demographicTerms/dg2015060391+http://id.loc.gov/authorities/demographicTerms/dg2016060021" , "Males+Composers+Music teachers" , 1
"$local+http://id.loc.gov/authorities/subjects/sh85000744" , "male+Actors" , 2
"$local" , "Chung i jen ming tzʻu tien, 1988." , 1
"$local" , "(lcdgt) Felales" , 1
"$local" , "srp+eng" , 1
"$local+http://id.loc.gov/authorities/subjects/sh85064419" , "female+Illustrators" , 1
"$local" , "(ldgt) Females" , 1
"$local" , "Male." , 1
"$local+http://id.loc.gov/authorities/demographicTerms/dg2015060003" , "(lcdgt) lcsh+Males" , 1
"$local" , "urdu" , 1
"$local" , "hin+eng+san+male" , 1
"$local" , "femaie" , 1
"http://id.loc.gov/authorities/subjects/sh85008992" , "Astronomers" , 1
"http://id.loc.gov/authorities/subjects/sh85008276+http://id.loc.gov/authorities/subjects/sh85064419" , "Artists+Illustrators" , 1
"http://id.loc.gov/authorities/subjects/sh85118942" , "Screenwriters" , 1
"$local" , "hrv" , 1
"$local+http://id.loc.gov/authorities/subjects/sh85088067" , "(lcsh) Screenwriter+Motion picture producers and directors" , 1
"http://id.loc.gov/authorities/demographicTerms/dg2015060302" , "Gays" , 1
"http://id.loc.gov/authorities/demographicTerms/dg2015060004+http://id.loc.gov/authorities/subjects/sh85009793+http://id.loc.gov/authorities/subjects/sh91001411" , "Females+Authors+Fashion designers" , 1
"$local" , "transgender male" , 1
"$local" , "bul+rus" , 1
"http://id.loc.gov/authorities/demographicTerms/dg2015060003+http://id.loc.gov/authorities/subjects/sh85088762" , "Males+Music" , 1
"http://id.loc.gov/authorities/subjects/sh85088762" , "Music" , 1
"http://id.loc.gov/authorities/demographicTerms/dg2015060003+http://id.loc.gov/authorities/subjects/sh85008085" , "Males+Art teachers" , 1
"$local" , "(lcdgt) Fe/Males" , 1
"http://id.loc.gov/authorities/subjects/sh85009793+http://id.loc.gov/authorities/subjects/sh85118942+http://id.loc.gov/authorities/subjects/sh85133601" , "Authors+Screenwriters+Television producers and directors" , 1
"$local" , "xal+rus" , 1
"$local" , "Males2lcdgt" , 2
"http://id.loc.gov/authorities/names/n80046224+http://id.loc.gov/authorities/subjects/sh85080137" , "Quito (Ecuador)+Males" , 1
"http://id.loc.gov/authorities/subjects/sh85047734+http://id.loc.gov/authorities/subjects/sh85077231+http://id.loc.gov/authorities/subjects/sh85136974" , "Females+Linguists+Translators" , 1
"$local+$local+http://id.loc.gov/authorities/demographicTerms/dg2015060003" , "swe+eng+Males" , 1
"$local" , "fenmale" , 1
"http://id.loc.gov/authorities/demographicTerms/dg2015060003+http://id.loc.gov/authorities/subjects/sh85016805+http://id.loc.gov/authorities/subjects/sh85083783" , "Males+Brickmakers+Merchants" , 1
"$local" , "(lcdgt ) Females" , 1
"http://id.loc.gov/authorities/demographicTerms/dg2015060004+http://id.loc.gov/authorities/subjects/sh2018002623" , "Females+Transgender women" , 1
"$local" , "mle" , 1
"$local" , "(lcddt) Males" , 1
"$local" , "(lcdgt) dut" , 1
"$local" , "Females lcdgt" , 1
"$local" , "male+ger" , 1
"$local" , "male or female" , 1
"$local" , "male5" , 1
"http://id.loc.gov/authorities/demographicTerms/dg2015060003+http://id.loc.gov/authorities/subjects/sh00006290" , "Males+Journalists" , 1
"http://id.loc.gov/authorities/demographicTerms/dg2015060003+http://id.loc.gov/authorities/demographicTerms/dg2015060535" , "Males+Cuban Americans" , 1
"$local" , "bul+male" , 1
"http://id.loc.gov/authorities/demographicTerms/dg2015060004+http://id.loc.gov/authorities/demographicTerms/dg2015060006+http://id.loc.gov/authorities/subjects/sh2017004882" , "Females+Transgender people+Gender-nonconforming people" , 1
"$local" , "(lcdgt) Malels" , 1
"$local" , "woman" , 1
"$local" , "(iso5218) Not known" , 1
"$local+$local+http://id.loc.gov/authorities/subjects/sh85080137" , "Social policy researcher+Benefits and debt administrator+Males" , 1
"$local" , "(lcdgt) Malles" , 1
"$local+$local+http://id.loc.gov/authorities/demographicTerms/dg2015060359" , "male+(lcdgt) males+Men" , 1
"$local" , "Females $2lcdgt" , 1
"http://id.loc.gov/authorities/subjects/sh85028378+http://id.loc.gov/authorities/subjects/sh85047734" , "College teachers+Females" , 1
"http://id.loc.gov/authorities/demographicTerms/dg2015060003+http://id.loc.gov/authorities/subjects/sh85007488+http://id.loc.gov/authorities/subjects/sh85028378" , "Males+Art--History+College teachers" , 1
"http://id.loc.gov/authorities/demographicTerms/dg2015060004+http://id.loc.gov/authorities/subjects/sh85055980+http://id.loc.gov/authorities/subjects/sh85122826" , "Females+Gospel musicians+Singers" , 1
"$local+http://id.loc.gov/authorities/demographicTerms/dg2015060003" , "Narrator of audiobooks+Males" , 1
"$local" , "cze+ukr" , 1
"$local" , "(lcsh) Fermales" , 1
"$local+http://id.loc.gov/authorities/demographicTerms/dg2015060004" , "cnr+Females" , 1
"$local+http://id.loc.gov/authorities/demographicTerms/dg2015060004" , "chi+Females" , 1
"http://id.loc.gov/authorities/demographicTerms/dg2015060004+http://id.loc.gov/authorities/subjects/sh00006290+http://id.loc.gov/authorities/subjects/sh00006383+http://id.loc.gov/authorities/subjects/sh85009793" , "Females+Journalists+Lawyers+Authors" , 1
"http://id.loc.gov/authorities/demographicTerms/dg2015060004+http://id.loc.gov/authorities/demographicTerms/dg2015060535" , "Females+Cuban Americans" , 1
"http://id.loc.gov/authorities/demographicTerms/dg2015060004+http://id.loc.gov/authorities/subjects/sh85006565" , "Females+Architects" , 1
"$local+http://id.loc.gov/authorities/subjects/sh85028378" , "(iso5218) male+College teachers" , 1
"http://id.loc.gov/authorities/demographicTerms/dg2015060004+http://id.loc.gov/authorities/subjects/sh85028378" , "Females+College teachers" , 3
"$local+http://id.loc.gov/authorities/demographicTerms/dg2015060003" , "(lcdgt) University and college faculty member+Males" , 1
"http://id.loc.gov/authorities/subjects/sh00006942" , "Photographers" , 1
"$local" , "(lcsh) Frmales" , 1
"$local" , "(lcdgt) Males n" , 1
"$local" , "(lcdt) Females" , 2
"$local" , "eng+Females+spa" , 1
"$local" , "Law professor" , 1
"$local" , "epo" , 1
"http://id.loc.gov/authorities/demographicTerms/dg2015060004+http://id.loc.gov/authorities/subjects/sh85013119" , "Females+Benedictine nuns" , 1
"http://id.loc.gov/authorities/subjects/sh85143635" , "Violinists" , 1
"$local" , "(lcdgt) 9Males" , 1
"http://id.loc.gov/authorities/subjects/sh99011240" , "Arrangers (Musicians)" , 1
"http://id.loc.gov/authorities/demographicTerms/dg2015060004+http://id.loc.gov/authorities/subjects/sh85028378+http://id.loc.gov/authorities/subjects/sh85123382" , "Females+College teachers+Slavists" , 1
"$local" , "Femalesd2lcdgt" , 2
"$local" , "lcdgt+Females" , 2
"http://id.loc.gov/authorities/demographicTerms/dg2015060359+http://id.loc.gov/authorities/subjects/sh85008276+http://id.loc.gov/authorities/subjects/sh85064419" , "Men+Artists+Illustrators" , 1
"http://id.loc.gov/authorities/demographicTerms/dg2015060004+http://id.loc.gov/authorities/subjects/sh85122826" , "Females+Singers" , 1
"$local" , "(ldgt) Men" , 1
"$local" , "Femals" , 1
"$local" , "ori" , 1
"$local+http://id.loc.gov/authorities/demographicTerms/dg2015060004+http://id.loc.gov/authorities/demographicTerms/dg2015060006" , "Fa'afafine+Females+Transgender people" , 1
"http://id.loc.gov/authorities/demographicTerms/dg2015060006+http://id.loc.gov/authorities/demographicTerms/dg2016060025" , "Transgender people+Intersex people" , 1
"$local" , "eng+bul" , 1
"http://id.loc.gov/authorities/subjects/sh85100820" , "Philologists" , 1
"$local" , "female]" , 1
"$local" , "male+not known" , 1
"http://id.loc.gov/authorities/demographicTerms/dg2015060003+http://id.loc.gov/authorities/demographicTerms/dg2015060071" , "Males+Fire fighters" , 1
"$local" , "spa+eng" , 1
"$local" , "(kcdgt) Females" , 1
"$local" , "Hemchandra, Ch." , 1
"$local" , "male+(lcdgt) Male" , 1
"$local" , "male+ara" , 1
"http://id.loc.gov/authorities/demographicTerms/dg2015060004+http://id.loc.gov/authorities/subjects/sh85076160+http://id.loc.gov/authorities/subjects/sh95004103" , "Females+Lesbians+Two-spirit people" , 1
"$local" , "make" , 2
"$local" , "Males. $2 lcdgt" , 1
"$local" , "female+transsexual" , 1
"$local" , "spa+(lcdgt) males" , 1
"$local+$local+http://id.loc.gov/authorities/demographicTerms/dg2015060004" , "Bois+Gender non-conformists+Females" , 1
"$local" , "(lcdgt) Famles" , 1
"$local+http://id.loc.gov/authorities/demographicTerms/dg2015060003" , "(lcdgt) Sex+Males" , 1
"$local" , "Nonbinary+Non-binary" , 1
"$local+http://id.loc.gov/authorities/subjects/sh85124199" , "male+Sociologists" , 1
"$local+http://id.loc.gov/authorities/demographicTerms/dg2015060003" , "tam+Males" , 2
"$local" , "cat+spa" , 1
"http://id.loc.gov/authorities/demographicTerms/dg2015060003+http://id.loc.gov/authorities/subjects/sh85009793+http://id.loc.gov/authorities/subjects/sh90003322" , "Males+Authors+Periodical editors" , 1
"http://id.loc.gov/authorities/subjects/sh85023598" , "Children's literature" , 1
"http://id.loc.gov/authorities/demographicTerms/dg2015060004+http://id.loc.gov/authorities/subjects/sh85075333" , "Females+Law teachers" , 1
"$local" , "(lcdgt) mles" , 1
"$local" , "(lcdgt) Maels" , 2
"$local" , "Transgender woman" , 1
"$local" , "tgl+eng" , 1
"$local" , "Males lcsh" , 1
"http://id.loc.gov/authorities/demographicTerms/dg2015060301" , "Bisexuals" , 1
"http://id.loc.gov/authorities/subjects/sh85040976+http://id.loc.gov/authorities/subjects/sh85089047" , "Editors+Musicologists" , 1
"http://id.loc.gov/authorities/demographicTerms/dg2015060004+http://id.loc.gov/authorities/subjects/sh91005358" , "Females+Gestalt therapists" , 1
"$local" , "(lcdgt) Gender non-binary femmes" , 1
"http://id.loc.gov/authorities/demographicTerms/dg2015060004+http://id.loc.gov/authorities/demographicTerms/dg2015060005+http://id.loc.gov/authorities/subjects/sh2006002132" , "Females+Transsexuals+Male-to-female transsexuals" , 1
"$local" , "(lcdgt) gender - Males Females other" , 1
"http://id.loc.gov/authorities/demographicTerms/dg2015060003+http://id.loc.gov/authorities/subjects/sh2002011142+http://id.loc.gov/authorities/subjects/sh85026013" , "Males+Camera operators+Cinematographers" , 1
"$local" , "(lcs h) Males" , 1
"$local" , "remale" , 2
"$local" , "(lcsh) not known" , 2
"$local" , "Poets" , 1
"$local" , "Author" , 1
"http://id.loc.gov/authorities/subjects/sh85009793+http://id.loc.gov/authorities/subjects/sh85083510" , "Authors+Men" , 1
"$local" , "male iso5218" , 1
"http://id.loc.gov/authorities/demographicTerms/dg2015060004+http://id.loc.gov/authorities/subjects/sh85040976+http://id.loc.gov/authorities/subjects/sh85103733" , "Females+Editors+Poets" , 1
"$local" , "Males$2lcdgt" , 1
"$local" , "(edtf) Men" , 1
"$local" , "(lcdgt) Mailes" , 1
"$local" , "arm+(lcdgt) males" , 1
"$local" , "(lcsh) Translator" , 1
"$local" , "fre+male" , 1
"$local+http://id.loc.gov/authorities/subjects/sh85080137" , "fre+Males" , 1
"http://id.loc.gov/authorities/demographicTerms/dg2015060003+http://id.loc.gov/authorities/subjects/sh85029386+http://id.loc.gov/authorities/subjects/sh85079181+http://id.loc.gov/authorities/subjects/sh85089027+http://id.loc.gov/authorities/subjects/sh85125387" , "Males+Composers+Lyricists+Musicians+Sound recording executives and producers" , 1
"$local" , "(lcdgt) Malas" , 1
"http://id.loc.gov/authorities/demographicTerms/dg2015060004+http://id.loc.gov/authorities/demographicTerms/dg2015060206+http://id.loc.gov/authorities/demographicTerms/dg2016060300" , "Females+Nuns+Missionaries" , 1
"http://id.loc.gov/authorities/demographicTerms/dg2015060003+http://id.loc.gov/authorities/demographicTerms/dg2015060848" , "Males+Ukrainians" , 1
"http://id.loc.gov/authorities/demographicTerms/dg2015060003+http://id.loc.gov/authorities/demographicTerms/dg2015060004+http://id.loc.gov/authorities/demographicTerms/dg2015060005+http://id.loc.gov/authorities/subjects/sh2006002132" , "Males+Females+Transsexuals+Male-to-female transsexuals" , 1
"http://id.loc.gov/authorities/demographicTerms/dg2015060003+http://id.loc.gov/authorities/subjects/sh85009793+http://id.loc.gov/authorities/subjects/sh85042503" , "Males+Authors+Elementary school teachers" , 1
"$local" , "femenino" , 1
"$local+http://id.loc.gov/authorities/subjects/sh85047734" , "Females" , 1
"$local+http://id.loc.gov/authorities/subjects/sh85001794+http://id.loc.gov/authorities/subjects/sh87000635" , "female+African American artists+African American fashion designers" , 1
"$local" , "(lcsh) Nonbinary people" , 1
"http://id.loc.gov/authorities/subjects/sh85132964" , "Teachers" , 1
"$local" , "Author+female" , 1
"$local" , "(lcdgt) College teachers+(lcdgt) Authors" , 1
"$local" , "est" , 1
"$local+http://id.loc.gov/authorities/demographicTerms/dg2015060003" , "Males" , 1
"http://id.loc.gov/authorities/demographicTerms/dg2015060004+http://id.loc.gov/authorities/subjects/sh2008007236+http://id.loc.gov/authorities/subjects/sh85009793+http://id.loc.gov/authorities/subjects/sh85113262" , "Females+Sommeliers+Authors+Restaurateurs" , 1
"$local" , "lcsh+Females" , 1
"$local+http://id.loc.gov/authorities/demographicTerms/dg2015060003+http://id.loc.gov/authorities/demographicTerms/dg2015060006" , "(homoit) Transgender people+Males+Transgender people" , 1
"$local" , "(lcsdt) Females" , 1
"$local" , "(lcdgt) females+eng" , 1
"$local+$local+http://id.loc.gov/authorities/demographicTerms/dg2015060004" , "cpe+eng+Females" , 1
"$local" , "pus+male" , 1
"$local+$local+http://id.loc.gov/authorities/subjects/sh2007003708" , "male+female+Transgender people" , 1
"http://id.loc.gov/authorities/demographicTerms/dg2015060003+http://id.loc.gov/authorities/subjects/sh00006290+http://id.loc.gov/authorities/subjects/sh85136974" , "Males+Journalists+Translators" , 1
"$local+http://id.loc.gov/authorities/demographicTerms/dg2015060003" , "(lcdgt) Computer scientists+Males" , 1
"$local+http://id.loc.gov/authorities/demographicTerms/dg2015060004+http://id.loc.gov/authorities/demographicTerms/dg2015060006" , "Transgender woman+Females+Transgender people" , 1
"$local" , "famel" , 1
"$local" , "(lcs) Females" , 1
"http://id.loc.gov/authorities/subjects/sh85047734+http://id.loc.gov/authorities/subjects/sh85053741" , "Females+Genealogists" , 1
"$local" , "(lcdgt) Femalea" , 1
"$local" , "(lcshb) Males" , 1
"http://id.loc.gov/authorities/demographicTerms/dg2015060004+http://id.loc.gov/authorities/demographicTerms/dg2015060821" , "Females+Senegalese" , 1
"$local" , "afr+eng+male" , 1
"http://id.loc.gov/authorities/demographicTerms/dg2015060003+http://id.loc.gov/authorities/demographicTerms/dg2015060004+http://id.loc.gov/authorities/subjects/sh2018002623" , "Males+Females+Transgender women" , 1
"$local" , "few" , 1
"$local" , "por+male" , 1
"http://id.loc.gov/authorities/subjects/sh85124554" , "Soldiers" , 1
"http://id.loc.gov/authorities/subjects/sh85026718+http://id.loc.gov/authorities/subjects/sh85100820+http://id.loc.gov/authorities/subjects/sh85132964+http://id.loc.gov/authorities/subjects/sh85136974" , "Classicists+Philologists+Teachers+Translators" , 1
"$local" , "(lcsh) University and college faculty members" , 1
"$local" , "(lcgdt) Men" , 1
"$local+$local+$local+http://id.loc.gov/authorities/demographicTerms/dg2015060359" , "Pianists+lcsh+Singers+Men" , 1
"$local" , "(lcsh) Femals" , 1
"$local" , "(lcdgt) Malex" , 1
"$local" , "(lcdgt) FEmales" , 1
"http://id.loc.gov/authorities/subjects/sh85008276+http://id.loc.gov/authorities/subjects/sh85009793" , "Artists+Authors" , 1
"$local+http://id.loc.gov/authorities/subjects/sh00006942" , "male+Photographers" , 1
"$local" , "ara+male" , 1
"$local" , "Compilers" , 1
"$local" , "Artist+Graphic designer+male+Author" , 1
"$local+$local+http://id.loc.gov/authorities/subjects/sh2002006249" , "eng+rus+Women" , 1
"$local+http://id.loc.gov/authorities/demographicTerms/dg2015060003" , "fre+Males" , 1
"http://id.loc.gov/authorities/demographicTerms/dg2016060186" , "Sociology teachers" , 1
"$local" , "(lcdgt) Fewmales" , 1
"$local" , "fre+(lcgbt) males" , 1
"$local+http://id.loc.gov/authorities/subjects/sh2011000268+http://id.loc.gov/authorities/subjects/sh85064419+http://id.loc.gov/authorities/subjects/sh85096653" , "male+Graffiti artists+Illustrators+Painters" , 1
"$local" , "not known+male" , 1
"http://id.loc.gov/authorities/subjects/sh85118236" , "Scholars" , 1
"http://id.loc.gov/authorities/demographicTerms/dg2015060004+http://id.loc.gov/authorities/demographicTerms/dg2015060391" , "Females+Composers" , 1
"$local" , "vie" , 1
"$local" , "(homoit) Non-binary people" , 1
"http://id.loc.gov/authorities/demographicTerms/dg2015060003+http://id.loc.gov/authorities/demographicTerms/dg2015060340" , "Males+Germans" , 1
"http://id.loc.gov/authorities/subjects/sh85108377" , "Psychiatrists" , 1
"$local" , "eng+ice+dan" , 1
"http://id.loc.gov/authorities/demographicTerms/dg2015060003+http://id.loc.gov/authorities/subjects/sh85064419" , "Males+Illustrators" , 1
"http://id.loc.gov/authorities/subjects/sh2016000243+http://id.loc.gov/authorities/subjects/sh85047734" , "Bloggers+Females" , 1
"$local" , "(iso5218) Females" , 1
"$local" , "lcsh+males" , 1
"$local+http://id.loc.gov/authorities/demographicTerms/dg2015060345" , "(lcgft) Males+Armenians" , 1
"$local" , "spa+male+eng" , 1
"$local" , "female+snd" , 1
"$local" , "transgender woman" , 1
"$local" , "(edtf) males" , 1
